,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
0,Jared Cook,TE,31.156,9/10/2018,NFL,OAK,,LAR,L 13-33,1,1,Mon,12,9,180,20.0,0,75.0,15.0
1,Michael Thomas,WR,25.19,9/9/2018,NFL,NOR,,TAM,L 40-48,1,1,Sun,17,16,180,11.25,1,94.1,10.59
2,Tyreek Hill,WR,24.191999999999997,9/9/2018,NFL,KAN,@,LAC,W 38-28,1,1,Sun,8,7,169,24.14,2,87.5,21.13
3,Julio Jones,WR,29.215,9/6/2018,NFL,ATL,@,PHI,L 12-18,1,1,Thu,19,10,169,16.9,0,52.6,8.89
4,Mike Evans,WR,25.019000000000002,9/9/2018,NFL,TAM,@,NOR,W 48-40,1,1,Sun,7,7,147,21.0,1,100.0,21.0
5,DeSean Jackson,WR,31.281999999999996,9/9/2018,NFL,TAM,@,NOR,W 48-40,1,1,Sun,5,5,146,29.2,2,100.0,29.2
6,Randall Cobb,WR,28.018,9/9/2018,NFL,GNB,,CHI,W 24-23,1,1,Sun,10,9,142,15.78,1,90.0,14.2
7,Emmanuel Sanders,WR,31.176,9/9/2018,NFL,DEN,,SEA,W 27-24,1,1,Sun,11,10,135,13.5,1,90.9,12.27
8,Rob Gronkowski,TE,29.118000000000002,9/9/2018,NFL,NWE,,HOU,W 27-20,1,1,Sun,8,7,123,17.57,1,87.5,15.38
9,JuJu Smith-Schuster,WR,21.291,9/9/2018,NFL,PIT,@,CLE,T 21-21,1,1,Sun,8,5,119,23.8,0,62.5,14.88
10,Kenny Golladay,WR,24.311,9/10/2018,NFL,DET,,NYJ,L 17-48,1,1,Mon,12,7,114,16.29,0,58.3,9.5
11,Alvin Kamara,RB,23.046,9/9/2018,NFL,NOR,,TAM,L 40-48,1,1,Sun,12,9,112,12.44,1,75.0,9.33
12,Odell Beckham,WR,25.308000000000003,9/9/2018,NFL,NYG,,JAX,L 15-20,1,1,Sun,15,11,111,10.09,0,73.3,7.4
13,Keenan Allen,WR,26.135,9/9/2018,NFL,LAC,,KAN,L 28-38,1,1,Sun,11,8,108,13.5,1,72.7,9.82
14,Jarvis Landry,WR,25.285,9/9/2018,NFL,CLE,,PIT,T 21-21,1,1,Sun,15,7,106,15.14,0,46.7,7.07
15,Kenny Stills,WR,26.14,9/9/2018,NFL,MIA,,TEN,W 27-20,1,1,Sun,5,4,106,26.5,2,80.0,21.2
16,Will Dissly,TE,22.063000000000002,9/9/2018,NFL,SEA,@,DEN,L 24-27,1,1,Sun,5,3,105,35.0,1,60.0,21.0
17,Melvin Gordon,RB,25.149,9/9/2018,NFL,LAC,,KAN,L 28-38,1,1,Sun,13,9,102,11.33,0,69.2,7.85
18,Adam Thielen,WR,28.018,9/9/2018,NFL,MIN,,SFO,W 24-16,1,1,Sun,12,6,102,17.0,0,50.0,8.5
19,Antonio Brown,WR,30.061,9/9/2018,NFL,PIT,@,CLE,T 21-21,1,1,Sun,16,9,93,10.33,1,56.3,5.81
20,A.J. Green,WR,30.04,9/9/2018,NFL,CIN,@,IND,W 34-23,1,1,Sun,8,6,92,15.33,1,75.0,11.5
21,George Kittle,TE,24.335,9/9/2018,NFL,SFO,@,MIN,L 16-24,1,1,Sun,9,5,90,18.0,0,55.6,10.0
22,Davante Adams,WR,25.259,9/9/2018,NFL,GNB,,CHI,W 24-23,1,1,Sun,8,5,88,17.6,1,62.5,11.0
23,Brandin Cooks,WR,24.35,9/10/2018,NFL,LAR,@,OAK,W 33-13,1,1,Mon,8,5,87,17.4,0,62.5,10.88
24,Austin Ekeler,RB,23.115,9/9/2018,NFL,LAC,,KAN,L 28-38,1,1,Sun,5,5,87,17.4,1,100.0,17.4
25,Mike Williams,WR,23.34,9/9/2018,NFL,LAC,,KAN,L 28-38,1,1,Sun,6,5,81,16.2,0,83.3,13.5
26,Golden Tate,WR,30.039,9/10/2018,NFL,DET,,NYJ,L 17-48,1,1,Mon,15,7,79,11.29,1,46.7,5.27
27,DeAndre Hopkins,WR,26.095,9/9/2018,NFL,HOU,@,NWE,L 20-27,1,1,Sun,11,8,78,9.75,0,72.7,7.09
28,Larry Fitzgerald,WR,35.009,9/9/2018,NFL,ARI,,WAS,L 6-24,1,1,Sun,10,7,76,10.86,0,70.0,7.6
29,Cole Beasley,WR,29.136,9/9/2018,NFL,DAL,@,CAR,L 8-16,1,1,Sun,8,7,73,10.43,0,87.5,9.13
30,Adrian Peterson,RB,33.172,9/9/2018,NFL,WAS,@,ARI,W 24-6,1,1,Sun,3,2,70,35.0,0,66.7,23.33
31,Geronimo Allison,WR,24.234,9/9/2018,NFL,GNB,,CHI,W 24-23,1,1,Sun,8,5,69,13.8,1,62.5,8.63
32,Ted Ginn,WR,33.15,9/9/2018,NFL,NOR,,TAM,L 40-48,1,1,Sun,6,5,68,13.6,1,83.3,11.33
33,Phillip Dorsett,WR,25.247,9/9/2018,NFL,NWE,,HOU,W 27-20,1,1,Sun,7,7,66,9.43,1,100.0,9.43
