,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt,Rush Att,Rush Yds,Rush Y/A,Rush TDs,Fantasy Points,Opp RYPG,Opp PYPG
0,Jared Cook,TE,31.156,9/10/2018,NFL,OAK,0,LAR,L 13-33,1,1,Mon,12,9,180,20.0,0,75.0,15.0,0.0,0.0,0.0,0.0,22.5,125.25,218.75
1,Michael Thomas,WR,25.19,9/9/2018,NFL,NOR,0,TAM,L 40-48,1,1,Sun,17,16,180,11.25,1,94.1,10.59,0.0,0.0,0.0,0.0,32.0,120.6875,236.875
2,Tyreek Hill,WR,24.192,9/9/2018,NFL,KAN,@,LAC,W 38-28,1,1,Sun,8,7,169,24.14,2,87.5,21.13,0.0,0.0,0.0,0.0,32.40000000000001,98.1875,210.0625
3,Julio Jones,WR,29.215,9/6/2018,NFL,ATL,@,PHI,L 12-18,1,1,Thu,19,10,169,16.9,0,52.6,8.89,1.0,11.0,11.0,0.0,23.0,102.8125,260.75
4,Mike Evans,WR,25.019,9/9/2018,NFL,TAM,@,NOR,W 48-40,1,1,Sun,7,7,147,21.0,1,100.0,21.0,0.0,0.0,0.0,0.0,24.20000000000001,76.4375,241.0625
5,DeSean Jackson,WR,31.282,9/9/2018,NFL,TAM,@,NOR,W 48-40,1,1,Sun,5,5,146,29.2,2,100.0,29.2,0.0,0.0,0.0,0.0,29.1,76.4375,241.0625
6,Randall Cobb,WR,28.018,9/9/2018,NFL,GNB,0,CHI,W 24-23,1,1,Sun,10,9,142,15.78,1,90.0,14.2,0.0,0.0,0.0,0.0,24.70000000000001,77.8125,213.625
7,Emmanuel Sanders,WR,31.176,9/9/2018,NFL,DEN,0,SEA,W 27-24,1,1,Sun,11,10,135,13.5,1,90.9,12.27,0.0,0.0,0.0,0.0,24.5,108.125,235.6875
8,Rob Gronkowski,TE,29.118,9/9/2018,NFL,NWE,0,HOU,W 27-20,1,1,Sun,8,7,123,17.57,1,87.5,15.38,0.0,0.0,0.0,0.0,21.8,77.5625,226.125
9,JuJu Smith-Schuster,WR,21.291,9/9/2018,NFL,PIT,@,CLE,T 21-21,1,1,Sun,8,5,119,23.8,0,62.5,14.88,0.0,0.0,0.0,0.0,14.4,115.375,260.25
10,Kenny Golladay,WR,24.311,9/10/2018,NFL,DET,0,NYJ,L 17-48,1,1,Mon,12,7,114,16.29,0,58.3,9.5,0.0,0.0,0.0,0.0,14.9,124.4375,228.0625
11,Odell Beckham,WR,25.308000000000003,9/9/2018,NFL,NYG,0,JAX,L 15-20,1,1,Sun,15,11,111,10.09,0,73.3,7.4,0.0,0.0,0.0,0.0,16.6,111.0625,191.8125
12,Keenan Allen,WR,26.135,9/9/2018,NFL,LAC,0,KAN,L 28-38,1,1,Sun,11,8,108,13.5,1,72.7,9.82,0.0,0.0,0.0,0.0,20.8,117.375,258.0625
13,Jarvis Landry,WR,25.285,9/9/2018,NFL,CLE,0,PIT,T 21-21,1,1,Sun,15,7,106,15.14,0,46.7,7.07,0.0,0.0,0.0,0.0,14.1,91.3125,216.375
14,Kenny Stills,WR,26.14,9/9/2018,NFL,MIA,0,TEN,W 27-20,1,1,Sun,5,4,106,26.5,2,80.0,21.2,0.0,0.0,0.0,0.0,24.6,99.5625,206.625
15,Will Dissly,TE,22.063,9/9/2018,NFL,SEA,@,DEN,L 24-27,1,1,Sun,5,3,105,35.0,1,60.0,21.0,0.0,0.0,0.0,0.0,18.0,106.0625,225.625
16,Adam Thielen,WR,28.018,9/9/2018,NFL,MIN,0,SFO,W 24-16,1,1,Sun,12,6,102,17.0,0,50.0,8.5,0.0,0.0,0.0,0.0,13.2,104.75,215.6875
17,Antonio Brown,WR,30.061,9/9/2018,NFL,PIT,@,CLE,T 21-21,1,1,Sun,16,9,93,10.33,1,56.3,5.81,0.0,0.0,0.0,0.0,19.8,115.375,260.25
18,A.J. Green,WR,30.04,9/9/2018,NFL,CIN,@,IND,W 34-23,1,1,Sun,8,6,92,15.33,1,75.0,11.5,0.0,0.0,0.0,0.0,18.200000000000006,96.75,228.4375
19,George Kittle,TE,24.335,9/9/2018,NFL,SFO,@,MIN,L 16-24,1,1,Sun,9,5,90,18.0,0,55.6,10.0,0.0,0.0,0.0,0.0,11.5,98.125,177.75
20,Davante Adams,WR,25.259,9/9/2018,NFL,GNB,0,CHI,W 24-23,1,1,Sun,8,5,88,17.6,1,62.5,11.0,0.0,0.0,0.0,0.0,17.3,77.8125,213.625
21,Brandin Cooks,WR,24.35,9/10/2018,NFL,LAR,@,OAK,W 33-13,1,1,Mon,8,5,87,17.4,0,62.5,10.88,1.0,6.0,6.0,0.0,11.8,136.6875,222.9375
22,Mike Williams,WR,23.34,9/9/2018,NFL,LAC,0,KAN,L 28-38,1,1,Sun,6,5,81,16.2,0,83.3,13.5,0.0,0.0,0.0,0.0,10.6,117.375,258.0625
23,Golden Tate,WR,30.039,9/10/2018,NFL,DET,0,NYJ,L 17-48,1,1,Mon,15,7,79,11.29,1,46.7,5.27,0.0,0.0,0.0,0.0,17.4,124.4375,228.0625
24,DeAndre Hopkins,WR,26.095,9/9/2018,NFL,HOU,@,NWE,L 20-27,1,1,Sun,11,8,78,9.75,0,72.7,7.09,0.0,0.0,0.0,0.0,11.8,111.5,239.125
25,Larry Fitzgerald,WR,35.009,9/9/2018,NFL,ARI,0,WAS,L 6-24,1,1,Sun,10,7,76,10.86,0,70.0,7.6,0.0,0.0,0.0,0.0,11.1,109.5,235.8125
26,Cole Beasley,WR,29.136,9/9/2018,NFL,DAL,@,CAR,L 8-16,1,1,Sun,8,7,73,10.43,0,87.5,9.13,0.0,0.0,0.0,0.0,10.8,98.75,239.0625
27,Geronimo Allison,WR,24.234,9/9/2018,NFL,GNB,0,CHI,W 24-23,1,1,Sun,8,5,69,13.8,1,62.5,8.63,0.0,0.0,0.0,0.0,15.4,77.8125,213.625
28,Ted Ginn,WR,33.15,9/9/2018,NFL,NOR,0,TAM,L 40-48,1,1,Sun,6,5,68,13.6,1,83.3,11.33,0.0,0.0,0.0,0.0,15.3,120.6875,236.875
29,Phillip Dorsett,WR,25.247,9/9/2018,NFL,NWE,0,HOU,W 27-20,1,1,Sun,7,7,66,9.43,1,100.0,9.43,0.0,0.0,0.0,0.0,16.1,77.5625,226.125
30,Quincy Enunwa,WR,26.102,9/10/2018,NFL,NYJ,@,DET,W 48-17,1,1,Mon,9,6,63,10.5,1,66.7,7.0,0.0,0.0,0.0,0.0,15.3,105.25,224.0
31,Demaryius Thomas,WR,30.25800000000001,9/9/2018,NFL,DEN,0,SEA,W 27-24,1,1,Sun,10,6,63,10.5,1,60.0,6.3,0.0,0.0,0.0,0.0,15.3,108.125,235.6875
32,Corey Davis,WR,23.241,9/9/2018,NFL,TEN,@,MIA,L 20-27,1,1,Sun,13,6,62,10.33,0,46.2,4.77,0.0,0.0,0.0,0.0,9.2,140.375,236.4375
33,Dante Pettis,WR,22.321,9/9/2018,NFL,SFO,@,MIN,L 16-24,1,1,Sun,5,2,61,30.5,1,40.0,12.2,0.0,0.0,0.0,0.0,13.1,98.125,177.75
34,Allen Robinson,WR,25.016,9/9/2018,NFL,CHI,@,GNB,L 23-24,1,1,Sun,7,4,61,15.25,0,57.1,8.71,0.0,0.0,0.0,0.0,8.100000000000001,117.875,207.75
35,Jack Doyle,TE,28.127,9/9/2018,NFL,IND,0,CIN,L 23-34,1,1,Sun,10,7,60,8.57,0,70.0,6.0,0.0,0.0,0.0,0.0,9.5,140.3125,253.75
36,Jesse James,TE,24.097,9/9/2018,NFL,PIT,@,CLE,T 21-21,1,1,Sun,5,3,60,20.0,0,60.0,12.0,0.0,0.0,0.0,0.0,7.5,115.375,260.25
37,Ryan Grant,WR,27.264,9/9/2018,NFL,IND,0,CIN,L 23-34,1,1,Sun,9,8,59,7.38,0,88.9,6.56,0.0,0.0,0.0,0.0,9.9,140.3125,253.75
38,Tyler Lockett,WR,25.346,9/9/2018,NFL,SEA,@,DEN,L 24-27,1,1,Sun,4,3,59,19.67,1,75.0,14.75,0.0,0.0,0.0,0.0,13.4,106.0625,225.625
39,Keelan Cole,WR,25.142,9/9/2018,NFL,JAX,@,NYG,W 20-15,1,1,Sun,4,3,54,18.0,0,75.0,13.5,0.0,0.0,0.0,0.0,6.9,121.125,223.5625
40,O.J. Howard,TE,23.294,9/9/2018,NFL,TAM,@,NOR,W 48-40,1,1,Sun,2,2,54,27.0,0,100.0,27.0,0.0,0.0,0.0,0.0,6.4,76.4375,241.0625
41,Marvin Jones,WR,28.182,9/10/2018,NFL,DET,0,NYJ,L 17-48,1,1,Mon,8,4,54,13.5,0,50.0,6.75,0.0,0.0,0.0,0.0,7.4,124.4375,228.0625
42,Cooper Kupp,WR,25.087,9/10/2018,NFL,LAR,@,OAK,W 33-13,1,1,Mon,9,5,52,10.4,1,55.6,5.78,2.0,16.0,8.0,0.0,15.3,136.6875,222.9375
43,Delanie Walker,TE,34.028,9/9/2018,NFL,TEN,@,MIA,L 20-27,1,1,Sun,7,4,52,13.0,0,57.1,7.43,0.0,0.0,0.0,0.0,7.2,140.375,236.4375
44,Eric Ebron,TE,25.152,9/9/2018,NFL,IND,0,CIN,L 23-34,1,1,Sun,5,4,51,12.75,1,80.0,10.2,0.0,0.0,0.0,0.0,13.1,140.3125,253.75
45,Dede Westbrook,WR,24.292,9/9/2018,NFL,JAX,@,NYG,W 20-15,1,1,Sun,6,5,51,10.2,0,83.3,8.5,0.0,0.0,0.0,0.0,7.6,121.125,223.5625
46,Terrelle Pryor,WR,29.082,9/10/2018,NFL,NYJ,@,DET,W 48-17,1,1,Mon,3,3,49,16.33,0,100.0,16.33,0.0,0.0,0.0,0.0,6.4,105.25,224.0
47,Willie Snead,WR,25.327,9/9/2018,NFL,BAL,0,BUF,W 47-3,1,1,Sun,6,4,49,12.25,1,66.7,8.17,0.0,0.0,0.0,0.0,12.9,97.9375,171.25
