,Age,Fantasy Points,Opp RYPG,Opp PYPG,Rush Att/G,Rush Yds/G,Rush TDs/G,Tgt/G,Rec/G,Rec Yds/G,Rec TDs/G
68,23.2,23.4,105.25,224.0,11.0,46.0,0.0,2.0,1.0,5.0,0.0
69,25.153000000000002,14.5,98.75,239.0625,9.0,19.0,1.0,2.0,1.0,26.0,0.0
70,24.054000000000002,11.6,136.6875,222.9375,15.0,71.0,0.0,3.0,2.0,31.0,1.0
71,22.051,9.2,77.125,177.4375,17.0,95.0,1.0,7.0,5.0,54.0,0.0
72,23.055999999999997,17.200000000000006,121.125,223.5625,15.0,69.0,1.0,4.0,3.0,17.0,0.0
73,23.122,11.3,97.9375,171.25,5.0,39.0,0.0,5.0,5.0,87.0,1.0
74,23.041,14.5,91.3125,216.375,16.0,49.0,0.0,0.0,0.0,0.0,0.0
75,27.144000000000002,8.0,99.5625,206.625,20.0,98.0,0.0,2.0,1.0,11.0,0.0
76,32.147,13.8,106.0625,225.625,11.0,41.0,1.0,2.0,2.0,8.0,0.0
77,24.06,7.4,109.5,235.8125,14.0,40.0,0.0,3.0,3.0,21.0,0.0
78,23.166,8.600000000000001,98.125,177.75,15.0,47.0,0.0,0.0,0.0,0.0,0.0
79,24.349,8.100000000000001,111.5,239.125,14.0,51.0,0.0,7.0,3.0,18.0,1.0
80,24.255,5.6000000000000005,77.5625,226.125,10.0,26.0,0.0,1.0,1.0,5.0,0.0
81,24.233,15.0,124.4375,228.0625,14.0,48.0,0.0,4.0,3.0,18.0,0.0
82,26.274,5.6000000000000005,125.25,218.75,9.0,37.0,1.0,9.0,5.0,30.0,0.0
83,29.278000000000002,9.0,105.25,224.0,12.0,38.0,0.0,0.0,0.0,0.0,0.0
84,25.124000000000002,4.6000000000000005,134.9375,198.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,23.053,12.9,115.375,260.25,8.0,29.0,2.0,12.0,9.0,112.0,1.0
86,23.005,5.9,98.75,239.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,27.361,11.5,76.4375,241.0625,22.0,62.0,1.0,2.0,1.0,3.0,0.0
88,21.078000000000007,9.1,104.75,215.6875,5.0,17.0,0.0,3.0,3.0,20.0,0.0
89,24.044,26.8,134.9375,198.4375,20.0,108.0,0.0,5.0,3.0,39.0,1.0
90,27.354,4.8,77.5625,226.125,16.0,75.0,1.0,8.0,5.0,35.0,0.0
91,30.066,8.8,98.1875,210.0625,7.0,22.0,0.0,3.0,1.0,-1.0,0.0
92,31.285,4.0,104.75,215.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,23.037,10.5,117.875,207.75,16.0,40.0,0.0,7.0,6.0,55.0,0.0
94,22.101,20.9,125.0625,233.3125,10.0,50.0,0.0,9.0,6.0,45.0,0.0
95,27.142,3.6,99.5625,206.625,5.0,36.0,1.0,0.0,0.0,0.0,0.0
96,24.018,10.5,140.3125,253.75,7.0,13.0,1.0,1.0,1.0,6.0,0.0
97,25.250999999999998,4.9,140.375,236.4375,10.0,102.0,2.0,0.0,0.0,0.0,0.0
98,23.31900000000001,8.3,108.125,235.6875,15.0,82.0,0.0,5.0,5.0,25.0,0.0
99,22.193,4.1,109.5,235.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,23.211,4.6000000000000005,111.0625,191.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,27.218000000000004,3.1,125.0625,233.3125,7.0,35.0,0.0,0.0,0.0,0.0,0.0
102,25.237,4.5,98.125,177.75,2.0,7.0,0.0,3.0,2.0,21.0,0.0
103,23.318,17.0,120.6875,236.875,5.0,26.0,0.0,0.0,0.0,0.0,0.0
104,22.226999999999997,3.0,77.8125,213.625,7.0,8.0,0.0,5.0,4.0,35.0,0.0
105,21.219,17.8,87.0625,217.9375,18.0,106.0,1.0,6.0,2.0,22.0,0.0
